name,longitude,latitude,isRestArea
문경,128.1041866733,36.7178625657,0
연곡,127.1830073,36.95431144,0
입장,127.1884647,36.91443246,0
옥산,127.372294,36.655882,0
신탄진,127.4166966,36.42535428,0
서대전,127.3066125,36.31569355,0
유성,127.3354653,36.38088562,0
북대전,127.3675659,36.40660321,0
북대전,127.3678197,36.40617198,0
옥천,127.5408926,36.32809569,0
옥천,127.5284274,36.33624741,0
청성,127.7407581,36.27171161,0
추풍령,127.9886414,36.21062321,0
추풍령,127.9885463,36.21098462,0
산내,127.4495555,36.28080824,0
당진,126.7184687,36.90075043,0
당진,126.7184687,36.90075043,0
용연,126.645546,36.86123428,0
고북,126.5583118,36.65116146,0
갈산,126.5531285,36.63471618,0
서산,126.588515,36.828862,0
금남,127.2540825,36.45062776,0
